Date,price,daily_return,signals,cash,positions,wealth
2023-01-03,103.11000061035156,1.0,0,1000.0,0.0,1000.0
2023-01-04,106.7699966430664,0.03549603346959351,0,1000.0,0.0,1000.0
2023-01-05,105.95999908447266,-0.007586378046836373,0,1000.0,0.0,1000.0
2023-01-06,104.75,-0.011419395006865063,0,1000.0,0.0,1000.0
2023-01-09,105.0999984741211,0.003341274215953094,0,1000.0,0.0,1000.0
2023-01-10,105.52999877929688,0.00409134454251836,0,1000.0,0.0,1000.0
2023-01-11,105.26000213623047,-0.0025584823859523542,0,1000.0,0.0,1000.0
2023-01-12,104.29000091552734,-0.00921528786829895,0,1000.0,0.0,1000.0
2023-01-13,105.02999877929688,0.0070955782651580535,0,1000.0,0.0,1000.0
2023-01-17,104.54000091552734,-0.004665313429158324,0,1000.0,0.0,1000.0
2023-01-18,103.22000122070312,-0.012626742713450212,0,1000.0,0.0,1000.0
2023-01-19,102.26000213623047,-0.009300514174767405,0,1000.0,0.0,1000.0
2023-01-20,106.58999633789062,0.042342989548266985,0,1000.0,0.0,1000.0
2023-01-23,110.66999816894531,0.03827753045530713,1,889.3300018310547,110.66999816894531,1000.0
2023-01-24,111.2699966430664,0.005421509750141551,1,778.0600051879883,222.5399932861328,1000.5999984741211
2023-01-25,110.69999694824219,-0.005122671987244476,1,667.3600082397461,332.09999084472656,999.4599990844727
2023-01-26,111.88999938964844,0.010749796515013843,0,667.3600082397461,335.6699981689453,1003.0300064086914
2023-01-27,114.27999877929688,0.021360259207129362,0,667.3600082397461,342.8399963378906,1010.2000045776367
2023-01-30,112.66000366210938,-0.014175666210113569,1,554.7000045776367,450.6400146484375,1005.3400192260742
2023-01-31,113.2300033569336,0.005059468101330511,1,441.4700012207031,566.150016784668,1007.6200180053711
2023-02-01,112.25,-0.008654979492002113,0,441.4700012207031,561.25,1002.7200012207031
2023-02-02,114.72000122070312,0.02200446521784527,0,441.4700012207031,573.6000061035156,1015.0700073242188
2023-02-03,109.27999877929688,-0.047419825518834724,0,441.4700012207031,546.3999938964844,987.8699951171875
2023-02-06,105.55999755859375,-0.03404100715828229,1,335.9100036621094,633.3599853515625,969.2699890136719
2023-02-07,113.8499984741211,0.07853354591947359,0,335.9100036621094,683.0999908447266,1019.0099945068359
2023-02-08,110.44999694824219,-0.02986386975360167,0,335.9100036621094,662.6999816894531,998.6099853515625
2023-02-09,110.87999725341797,0.0038931671983410965,0,335.9100036621094,665.2799835205078,1001.1899871826172
2023-02-10,111.0999984741211,0.0019841380425029698,0,335.9100036621094,666.5999908447266,1002.5099945068359
2023-02-13,111.37999725341797,0.002520241072389462,0,335.9100036621094,668.2799835205078,1004.1899871826172
2023-02-14,112.08999633789062,0.0063745654693923015,1,223.82000732421875,784.6299743652344,1008.4499816894531
2023-02-15,115.94999694824219,0.03443662000590808,1,107.87001037597656,927.5999755859375,1035.469985961914
2023-02-16,112.5199966430664,-0.029581719667546524,0,107.87001037597656,900.1599731445312,1008.0299835205078
2023-02-17,112.51000213623047,-8.882427243261937e-05,0,107.87001037597656,900.0800170898438,1007.9500274658203
2023-02-21,112.0199966430664,-0.0043552171705654175,0,107.87001037597656,896.1599731445312,1004.0299835205078
2023-02-22,111.23999786376953,-0.006963031625346505,0,107.87001037597656,889.9199829101562,997.7899932861328
2023-02-23,110.37000274658203,-0.007820883979635984,0,107.87001037597656,882.9600219726562,990.8300323486328
2023-02-24,109.30000305175781,-0.009694660398632204,0,107.87001037597656,874.4000244140625,982.2700347900391
2023-02-27,110.08000183105469,0.0071363106817803335,0,107.87001037597656,880.6400146484375,988.5100250244141
2023-02-28,109.55000305175781,-0.004814669063235355,0,107.87001037597656,876.4000244140625,984.2700347900391
