Date,price,daily_return,signals,cash,positions,wealth
2023-01-03,87.68000030517578,1.0,0,1000.0,0.0,1000.0
2023-01-04,90.98999786376953,0.03775088443285912,0,1000.0,0.0,1000.0
2023-01-05,93.0,0.022090363594027718,0,1000.0,0.0,1000.0
2023-01-06,94.11000061035156,0.011935490433887752,0,1000.0,0.0,1000.0
2023-01-09,93.7699966430664,-0.003612835671873982,0,1000.0,0.0,1000.0
2023-01-10,94.63999938964844,0.009278050311696928,0,1000.0,0.0,1000.0
2023-01-11,99.23999786376953,0.048605225103416805,0,1000.0,0.0,1000.0
2023-01-12,103.05999755859375,0.03849254108276057,0,1000.0,0.0,1000.0
2023-01-13,106.08999633789062,0.029400338162963724,0,1000.0,0.0,1000.0
2023-01-17,106.55000305175781,0.004336004616326772,0,1000.0,0.0,1000.0
2023-01-18,103.87000274658203,-0.02515251270217178,0,1000.0,0.0,1000.0
2023-01-19,107.06999969482422,0.03080771024960316,0,1000.0,0.0,1000.0
2023-01-20,111.30000305175781,0.03950689613327851,0,1000.0,0.0,1000.0
2023-01-23,115.7300033569336,0.039802337679323285,0,1000.0,0.0,1000.0
2023-01-24,115.16999816894531,-0.0048388937332103366,0,1000.0,0.0,1000.0
2023-01-25,116.44000244140625,0.011027214488602777,0,1000.0,0.0,1000.0
2023-01-26,116.7300033569336,0.0024905608849783434,0,1000.0,0.0,1000.0
2023-01-27,116.18000030517578,-0.00471175392736034,0,1000.0,0.0,1000.0
2023-01-30,115.55999755859375,-0.005336570364550153,0,1000.0,0.0,1000.0
2023-01-31,114.30000305175781,-0.010903379486461695,0,1000.0,0.0,1000.0
2023-02-01,117.9000015258789,0.031496048801424203,0,1000.0,0.0,1000.0
2023-02-02,121.44999694824219,0.0301102237185642,0,1000.0,0.0,1000.0
2023-02-03,118.69999694824219,-0.022643063557852172,0,1000.0,0.0,1000.0
2023-02-06,119.06999969482422,0.0031171251566533,0,1000.0,0.0,1000.0
2023-02-07,120.19999694824219,0.009490192796792973,0,1000.0,0.0,1000.0
2023-02-08,119.1500015258789,-0.008735403070063374,0,1000.0,0.0,1000.0
2023-02-09,117.70999908447266,-0.01208562671393243,0,1000.0,0.0,1000.0
2023-02-10,107.63999938964844,-0.08554922923410824,0,1000.0,0.0,1000.0
2023-02-13,111.3499984741211,0.034466732678460454,0,1000.0,0.0,1000.0
2023-02-14,114.94999694824219,0.03233047618727869,0,1000.0,0.0,1000.0
2023-02-15,115.95999908447266,0.0087864476993873,0,1000.0,0.0,1000.0
2023-02-16,111.52999877929688,-0.038202831494925094,0,1000.0,0.0,1000.0
2023-02-17,108.95999908447266,-0.023043124925607783,0,1000.0,0.0,1000.0
2023-02-21,108.02999877929688,-0.008535245163271199,0,1000.0,0.0,1000.0
2023-02-22,107.97000122070312,-0.0005553786843627284,0,1000.0,0.0,1000.0
2023-02-23,106.91000366210938,-0.009817519186898882,0,1000.0,0.0,1000.0
2023-02-24,104.30999755859375,-0.024319577349683597,0,1000.0,0.0,1000.0
2023-02-27,106.83999633789062,0.024254614500165195,0,1000.0,0.0,1000.0
2023-02-28,108.97000122070312,0.019936399811136152,0,1000.0,0.0,1000.0
2023-03-01,106.16000366210938,-0.02578689113623578,0,1000.0,0.0,1000.0
2023-03-02,105.77999877929688,-0.0035795485088904178,1,894.2200012207031,105.77999877929688,1000.0
2023-03-03,107.61000061035156,0.017300074231167972,1,786.6100006103516,215.22000122070312,1001.8300018310547
2023-03-06,108.55000305175781,0.008735270291559072,1,678.0599975585938,325.65000915527344,1003.7100067138672
2023-03-07,107.51000213623047,-0.009580846488152162,1,570.5499954223633,430.0400085449219,1000.5900039672852
2023-03-08,107.2300033569336,-0.002604397486124843,1,463.3199920654297,536.150016784668,999.4700088500977
2023-03-09,100.80000305175781,-0.05996456312485987,0,463.3199920654297,504.00001525878906,967.3200073242188
2023-03-10,98.29000091552734,-0.024900814089674705,0,463.3199920654297,491.4500045776367,954.7699966430664
