Date,price,daily_return,signals,cash,positions,wealth
2023-01-03,41.801063537597656,1.0,0,1000.0,0.0,1000.0
2023-01-04,43.102664947509766,0.031137997451700983,0,1000.0,0.0,1000.0
2023-01-05,42.76555633544922,-0.007821061933666384,0,1000.0,0.0,1000.0
2023-01-06,43.36485290527344,0.014013533815002699,0,1000.0,0.0,1000.0
2023-01-09,43.64577865600586,0.006478189868326822,0,1000.0,0.0,1000.0
2023-01-10,43.692596435546875,0.0010726760063100027,0,1000.0,0.0,1000.0
2023-01-11,44.11397933959961,0.009644263294682931,0,1000.0,0.0,1000.0
2023-01-12,44.56344985961914,0.010188845503131816,0,1000.0,0.0,1000.0
2023-01-13,44.31999206542969,-0.0054631720604302325,0,1000.0,0.0,1000.0
2023-01-17,44.42299270629883,0.0023240220963280933,0,1000.0,0.0,1000.0
2023-01-18,42.89665603637695,-0.034359159006084994,0,1000.0,0.0,1000.0
2023-01-19,42.72809982299805,-0.003929355547807045,0,1000.0,0.0,1000.0
2023-01-20,43.50531768798828,0.018189853239668263,0,1000.0,0.0,1000.0
2023-01-23,44.638362884521484,0.026043832265728595,0,1000.0,0.0,1000.0
2023-01-24,43.701961517333984,-0.020977502459262443,0,1000.0,0.0,1000.0
2023-01-25,46.02424240112305,0.05313905378979267,0,1000.0,0.0,1000.0
2023-01-26,45.60285949707031,-0.009155672794788905,0,1000.0,0.0,1000.0
2023-01-27,45.752685546875,0.003285452961876434,0,1000.0,0.0,1000.0
2023-01-30,45.696502685546875,-0.0012279686024236902,0,1000.0,0.0,1000.0
2023-01-31,46.632904052734375,0.020491751275391712,0,1000.0,0.0,1000.0
2023-02-01,46.08979034423828,-0.011646577015274828,1,953.9102096557617,46.08979034423828,1000.0
2023-02-02,46.02424240112305,-0.0014221792424237156,1,907.8859672546387,92.0484848022461,999.9344520568848
2023-02-03,46.164703369140625,0.0030518909315964127,0,907.8859672546387,92.32940673828125,1000.2153739929199
2023-02-06,45.83696365356445,-0.007099357120428418,1,862.0490036010742,137.51089096069336,999.5598945617676
2023-02-07,46.511173248291016,0.014708862476629836,1,815.5378303527832,186.04469299316406,1001.5825233459473
2023-02-08,45.94933319091797,-0.01207967931433962,1,769.5884971618652,229.74666595458984,999.3351631164551
2023-02-09,45.66840744018555,-0.006113815614367746,0,769.5884971618652,228.34203720092773,997.930534362793
2023-02-10,45.60285949707031,-0.0014353017061321527,0,769.5884971618652,228.01429748535156,997.6027946472168
2023-02-13,45.96805953979492,0.00800827068197485,1,723.6204376220703,275.80835723876953,999.4287948608398
2023-02-14,46.005516052246094,0.0008148377988144162,1,677.6149215698242,322.03861236572266,999.6535339355469
2023-02-15,45.958702087402344,-0.001017572866492511,0,677.6149215698242,321.7109146118164,999.3258361816406
2023-02-16,45.46240234375,-0.010798819834130668,0,677.6149215698242,318.23681640625,995.8517379760742
2023-02-17,45.50921630859375,0.0010297292362551058,0,677.6149215698242,318.56451416015625,996.1794357299805
2023-02-21,44.65708923339844,-0.01872427486813044,0,677.6149215698242,312.59962463378906,990.2145462036133
2023-02-22,44.516632080078125,-0.003145237536334222,0,677.6149215698242,311.6164245605469,989.2313461303711
2023-02-23,44.68518829345703,0.0037863649045979386,0,677.6149215698242,312.7963180541992,990.4112396240234
2023-02-24,44.61027145385742,-0.0016765474749175224,1,633.0046501159668,356.8821716308594,989.8868217468262
2023-02-27,44.5540885925293,-0.0012594153655002271,1,588.4505615234375,400.9867973327637,989.4373588562012
2023-02-28,44.694549560546875,0.003152594351153004,1,543.7560119628906,446.94549560546875,990.7015075683594
2023-03-01,44.30126190185547,-0.008799454576863486,1,499.45475006103516,487.31388092041016,986.7686309814453
2023-03-02,43.36485290527344,-0.02113729849629431,1,456.0898971557617,520.3782348632812,976.468132019043
2023-03-03,44.11397933959961,0.01727496772472792,0,456.0898971557617,529.3677520751953,985.457649230957
2023-03-06,44.12334442138672,0.00021229283613277694,0,456.0898971557617,529.4801330566406,985.5700302124023
2023-03-07,42.700008392333984,-0.03225811750486529,1,413.38988876342773,555.1001091003418,968.4899978637695
2023-03-08,42.597007751464844,-0.0024121925204968475,1,370.7928810119629,596.3581085205078,967.1509895324707
2023-03-09,39.6098747253418,-0.07012541922079785,-1,410.4027557373047,514.9283714294434,925.331127166748
2023-03-10,38.03671646118164,-0.03971631506205375,1,372.36603927612305,532.514030456543,904.880069732666
2023-03-13,34.21619415283203,-0.1004430104330547,1,338.149845123291,513.2429122924805,851.3927574157715
2023-03-14,35.12450408935547,0.026546200096548622,1,303.02534103393555,561.9920654296875,865.017406463623
2023-03-15,33.18614959716797,-0.05518524865878238,1,269.8391914367676,564.1645431518555,834.003734588623
2023-03-16,34.047637939453125,0.02595927375553897,1,235.79155349731445,612.8574829101562,848.6490364074707
2023-03-17,30.85450553894043,-0.09378425622919973,0,235.79155349731445,555.3810997009277,791.1726531982422
2023-03-20,32.25910568237305,0.04552333991092228,0,235.79155349731445,580.6639022827148,816.4554557800293
2023-03-21,35.13386535644531,0.08911467361734982,0,235.79155349731445,632.4095764160156,868.2011299133301
2023-03-22,32.577484130859375,-0.07276117215258149,0,235.79155349731445,586.3947143554688,822.1862678527832
2023-03-23,32.8303108215332,0.007760780103775344,0,235.79155349731445,590.9455947875977,826.7371482849121
2023-03-24,32.68049621582031,-0.004563301472449877,0,235.79155349731445,588.2489318847656,824.0404853820801
2023-03-27,32.65239715576172,-0.0008598113037522337,0,235.79155349731445,587.7431488037109,823.5347023010254
2023-03-28,33.298519134521484,0.01978788802787035,0,235.79155349731445,599.3733444213867,835.1648979187012
2023-03-29,33.916542053222656,0.018560072182322696,-1,269.7080955505371,576.5812149047852,846.2893104553223
2023-03-30,33.64133834838867,-0.00811414395966803,0,269.7080955505371,571.9027519226074,841.6108474731445
2023-03-31,34.210723876953125,0.016925174696319045,0,269.7080955505371,581.5823059082031,851.2904014587402
2023-04-03,33.8216438293457,-0.011373043406121441,0,269.7080955505371,574.967945098877,844.6760406494141
2023-04-04,33.271236419677734,-0.01627382194801552,0,269.7080955505371,565.6110191345215,835.3191146850586
2023-04-05,33.31868362426758,0.0014260727792425598,0,269.7080955505371,566.4176216125488,836.1257171630859
2023-04-06,33.92603302001953,0.018228493136193125,0,269.7080955505371,576.742561340332,846.4506568908691
2023-04-10,33.793174743652344,-0.003916115871513415,0,269.7080955505371,574.4839706420898,844.192066192627
2023-04-11,33.717254638671875,-0.002246610611651101,0,269.7080955505371,573.1933288574219,842.901424407959
2023-04-12,33.59388732910156,-0.0036588776545530832,0,269.7080955505371,571.0960845947266,840.8041801452637
2023-04-13,33.57490921020508,-0.0005649277414836451,0,269.7080955505371,570.7734565734863,840.4815521240234
2023-04-14,33.185829162597656,-0.011588416968500992,-1,302.89392471313477,530.9732666015625,833.8671913146973
2023-04-17,33.774192810058594,0.01772936407820902,0,302.89392471313477,540.3870849609375,843.2810096740723
2023-04-18,33.39459991455078,-0.011239140418324411,1,269.499324798584,567.7081985473633,837.2075233459473
2023-04-19,34.17276382446289,0.02330208811913459,0,269.499324798584,580.9369850158691,850.4363098144531
2023-04-20,32.98654556274414,-0.034712388726064525,0,269.499324798584,560.7712745666504,830.2705993652344
2023-04-21,31.80980682373047,-0.03567329403363506,0,269.499324798584,540.766716003418,810.266040802002
2023-04-24,31.11705207824707,-0.02177802428421527,0,269.499324798584,528.9898853302002,798.4892101287842
2023-04-25,30.149089813232422,-0.031107132596642106,0,269.499324798584,512.5345268249512,782.0338516235352
2023-04-26,29.911848068237305,-0.007868952146309671,0,269.499324798584,508.5014171600342,778.0007419586182
2023-04-27,30.908273696899414,0.03331207173789408,0,269.499324798584,525.44065284729,794.939977645874
2023-04-28,32.531028747558594,0.05250228681720159,0,269.499324798584,553.0274887084961,822.5268135070801
2023-05-01,31.2593936920166,-0.039089912139265715,0,269.499324798584,531.4096927642822,800.9090175628662
2023-05-02,29.067251205444336,-0.0701274793801302,0,269.499324798584,494.1432704925537,763.6425952911377
2023-05-03,28.279600143432617,-0.027097542056683688,0,269.499324798584,480.7532024383545,750.2525272369385
2023-05-04,27.501436233520508,-0.02751679323488676,1,241.99788856506348,495.02585220336914,737.0237407684326
2023-05-05,29.171640396118164,0.06073152501620638,0,241.99788856506348,525.089527130127,767.0874156951904
2023-05-08,28.2226619720459,-0.03253085569361902,0,241.99788856506348,508.0079154968262,750.0058040618896
2023-05-09,28.383989334106445,0.005716234783959662,0,241.99788856506348,510.911808013916,752.9096965789795
2023-05-10,27.947458267211914,-0.01537948248768517,0,241.99788856506348,503.05424880981445,745.0521373748779
2023-05-11,27.44449806213379,-0.017996634980870563,0,241.99788856506348,494.0009651184082,735.9988536834717
2023-05-12,27.643783569335938,0.007261401055722372,1,214.35410499572754,525.2318878173828,739.5859928131104
