Date,price,daily_return,signals,cash,positions,wealth
2023-01-03,40.00914764404297,1.0,0,1000.0,0.0,1000.0
2023-01-04,40.83250427246094,0.02057920942838587,0,1000.0,0.0,1000.0
2023-01-05,40.612300872802734,-0.0053928458119753,0,1000.0,0.0,1000.0
2023-01-06,40.97610855102539,0.008958066162320977,0,1000.0,0.0,1000.0
2023-01-09,40.58357620239258,-0.009579541896810762,0,1000.0,0.0,1000.0
2023-01-10,40.55485534667969,-0.0007076965216090692,0,1000.0,0.0,1000.0
2023-01-11,40.918663024902344,0.00897075516883672,0,1000.0,0.0,1000.0
2023-01-12,41.00482940673828,0.002105796608835808,0,1000.0,0.0,1000.0
2023-01-13,42.335594177246094,0.03245385457667904,0,1000.0,0.0,1000.0
2023-01-17,42.23985290527344,-0.0022614840734682673,0,1000.0,0.0,1000.0
2023-01-18,41.53138732910156,-0.01677244420714885,0,1000.0,0.0,1000.0
2023-01-19,41.11971664428711,-0.009912278671365016,0,1000.0,0.0,1000.0
2023-01-20,42.04838180541992,0.022584425110863116,0,1000.0,0.0,1000.0
2023-01-23,43.11107635498047,0.02527313784578422,0,1000.0,0.0,1000.0
2023-01-24,42.5557975769043,-0.012880188225966704,0,1000.0,0.0,1000.0
2023-01-25,43.40786361694336,0.020022325712478084,0,1000.0,0.0,1000.0
2023-01-26,43.85783767700195,0.010366187657366188,0,1000.0,0.0,1000.0
2023-01-27,44.154624938964844,0.006767029057579865,0,1000.0,0.0,1000.0
2023-01-30,44.317386627197266,0.003686175309096429,0,1000.0,0.0,1000.0
2023-01-31,44.87266540527344,0.01252959211578153,0,1000.0,0.0,1000.0
2023-02-01,45.31306838989258,0.009814504679888758,0,1000.0,0.0,1000.0
2023-02-02,45.505760192871094,0.004252455413535694,0,1000.0,0.0,1000.0
2023-02-03,45.84299087524414,0.007410725168500276,0,1000.0,0.0,1000.0
2023-02-06,45.939334869384766,0.002101607951427331,0,1000.0,0.0,1000.0
2023-02-07,46.3729133605957,0.00943806636390554,0,1000.0,0.0,1000.0
2023-02-08,46.488525390625,0.002493093956170034,0,1000.0,0.0,1000.0
2023-02-09,45.83335494995117,-0.01409316460715171,0,1000.0,0.0,1000.0
2023-02-10,45.77553939819336,-0.0012614296252356771,1,954.2244606018066,45.77553939819336,1000.0
2023-02-13,46.3729133605957,0.013050069322086966,1,907.8515472412109,92.7458267211914,1000.5973739624023
2023-02-14,46.729400634765625,0.007687403019039918,1,861.1221466064453,140.18820190429688,1001.3103485107422
2023-02-15,46.218746185302734,-0.010927904970451818,1,814.9034004211426,184.87498474121094,999.7783851623535
2023-02-16,45.49612808227539,-0.015634740503997713,1,769.4072723388672,227.48064041137695,996.8879127502441
2023-02-17,45.75627517700195,0.005718005151034156,0,769.4072723388672,228.78137588500977,998.188648223877
2023-02-21,44.551902770996094,-0.026321469598364566,0,769.4072723388672,222.75951385498047,992.1667861938477
2023-02-22,44.330299377441406,-0.004974050035388311,0,769.4072723388672,221.65149688720703,991.0587692260742
2023-02-23,44.56153869628906,0.0052162814620044795,0,769.4072723388672,222.8076934814453,992.2149658203125
2023-02-24,44.91802978515625,0.007999972606351546,0,769.4072723388672,224.59014892578125,993.9974212646484
2023-02-27,45.07218933105469,0.0034320193168708713,0,769.4072723388672,225.36094665527344,994.7682189941406
2023-02-28,45.06255340576172,-0.0002137887117529269,0,769.4072723388672,225.3127670288086,994.7200393676758
2023-03-01,44.97583770751953,-0.0019243405375048983,1,724.4314346313477,269.8550262451172,994.2864608764648
2023-03-02,44.127967834472656,-0.018851674949572295,1,680.303466796875,308.8957748413086,989.1992416381836
2023-03-03,45.13963317871094,0.0229257179490594,0,680.303466796875,315.97743225097656,996.2808990478516
2023-03-06,44.927669525146484,-0.004695732743889902,-1,725.2311363220215,269.5660171508789,994.7971534729004
2023-03-07,42.82725524902344,-0.04675101776528656,1,682.403881072998,299.79078674316406,982.1946678161621
2023-03-08,42.239524841308594,-0.013723279820231915,-1,724.6434059143066,253.43714904785156,978.0805549621582
2023-03-09,39.628456115722656,-0.06181576936283184,-1,764.2718620300293,198.14228057861328,962.4141426086426
2023-03-10,39.850059509277344,0.005592026923975091,0,764.2718620300293,199.25029754638672,963.522159576416
2023-03-13,37.00775909423828,-0.07132487253569486,-1,801.2796211242676,148.03103637695312,949.3106575012207
2023-03-14,38.7035026550293,0.04582129808165081,0,801.2796211242676,154.8140106201172,956.0936317443848
2023-03-15,37.43169403076172,-0.03286029782894373,0,801.2796211242676,149.72677612304688,951.0063972473145
2023-03-16,37.865264892578125,0.01158298797431101,0,801.2796211242676,151.4610595703125,952.7406806945801
2023-03-17,36.38148880004883,-0.03918567839783227,0,801.2796211242676,145.5259552001953,946.8055763244629
2023-03-20,36.1117057800293,-0.00741539252289114,0,801.2796211242676,144.4468231201172,945.7264442443848
2023-03-21,37.075199127197266,0.026680914854507076,0,801.2796211242676,148.30079650878906,949.5804176330566
2023-03-22,35.84193420410156,-0.03326387860695312,1,765.437686920166,179.2096710205078,944.6473579406738
2023-03-23,35.27347183227539,-0.015860259342843186,0,765.437686920166,176.36735916137695,941.805046081543
2023-03-24,34.90734100341797,-0.010379778622256586,0,765.437686920166,174.53670501708984,939.9743919372559
2023-03-27,36.102073669433594,0.03422582848400402,0,765.437686920166,180.51036834716797,945.948055267334
2023-03-28,35.822662353515625,-0.007739481074588106,0,765.437686920166,179.11331176757812,944.5509986877441
2023-03-29,36.58382034301758,0.021247945839158344,0,765.437686920166,182.9191017150879,948.3567886352539
2023-03-30,36.015357971191406,-0.015538627909719382,1,729.4223289489746,216.09214782714844,945.514476776123
2023-03-31,36.015357971191406,0.0,1,693.4069709777832,252.10750579833984,945.514476776123
2023-04-03,36.34294891357422,0.009095868008443864,0,693.4069709777832,254.40064239501953,947.8076133728027
2023-04-04,35.46617126464844,-0.024125110238324754,0,693.4069709777832,248.26319885253906,941.6701698303223
2023-04-05,35.54324722290039,0.0021732246674390776,1,657.8637237548828,284.3459777832031,942.2097015380859
2023-04-06,36.51637649536133,0.027378738536696146,1,621.3473472595215,328.64738845825195,949.9947357177734
2023-04-10,37.219722747802734,0.019261118433554048,-1,658.5670700073242,297.7577819824219,956.3248519897461
2023-04-11,37.932708740234375,0.019156133893386773,0,658.5670700073242,303.461669921875,962.0287399291992
2023-04-12,37.75927734375,-0.004572080461536343,-1,696.3263473510742,264.31494140625,960.6412887573242
