Date,price,daily_return,signals,cash,positions,wealth
2023-01-03,37.209999084472656,1.0,0,1000.0,0.0,1000.0
2023-01-04,39.720001220703125,0.06745504428883109,0,1000.0,0.0,1000.0
2023-01-05,41.2400016784668,0.038267885474570607,0,1000.0,0.0,1000.0
2023-01-06,42.2400016784668,0.024248301631911495,0,1000.0,0.0,1000.0
2023-01-09,43.349998474121094,0.02627833218624498,0,1000.0,0.0,1000.0
2023-01-10,45.75,0.05536335894709765,0,1000.0,0.0,1000.0
2023-01-11,47.709999084472656,0.04284151004311809,0,1000.0,0.0,1000.0
2023-01-12,51.29999923706055,0.07524628424812252,0,1000.0,0.0,1000.0
2023-01-13,51.650001525878906,0.00682265680357963,0,1000.0,0.0,1000.0
2023-01-17,51.20000076293945,-0.00871250241326682,0,1000.0,0.0,1000.0
2023-01-18,48.86000061035156,-0.04570312729920256,0,1000.0,0.0,1000.0
2023-01-19,48.369998931884766,-0.010028687522426805,0,1000.0,0.0,1000.0
2023-01-20,49.459999084472656,0.022534632554423784,0,1000.0,0.0,1000.0
2023-01-23,49.279998779296875,-0.003639310725994105,0,1000.0,0.0,1000.0
2023-01-24,49.29999923706055,0.00040585345493293623,0,1000.0,0.0,1000.0
2023-01-25,50.279998779296875,0.019878287168402897,0,1000.0,0.0,1000.0
2023-01-26,49.45000076293945,-0.016507518625859197,0,1000.0,0.0,1000.0
2023-01-27,48.72999954223633,-0.014560186240537565,0,1000.0,0.0,1000.0
2023-01-30,48.209999084472656,-0.01067105402521018,0,1000.0,0.0,1000.0
2023-01-31,48.959999084472656,0.015556938689956556,0,1000.0,0.0,1000.0
2023-02-01,50.220001220703125,0.025735338231043237,0,1000.0,0.0,1000.0
2023-02-02,52.310001373291016,0.04161688772970984,0,1000.0,0.0,1000.0
2023-02-03,51.119998931884766,-0.02274904244246212,0,1000.0,0.0,1000.0
2023-02-06,50.91999816894531,-0.003912378073519629,0,1000.0,0.0,1000.0
2023-02-07,50.75,-0.0033385344669747408,1,949.25,50.75,1000.0
2023-02-08,50.77000045776367,0.0003940976899245996,0,949.25,50.77000045776367,1000.0200004577637
2023-02-09,49.81999969482422,-0.018711852558082498,-1,999.0699996948242,0.0,999.0699996948242
2023-02-10,48.86000061035156,-0.019269351472364415,0,999.0699996948242,0.0,999.0699996948242
2023-02-13,49.189998626708984,0.00675395031181214,0,999.0699996948242,0.0,999.0699996948242
2023-02-14,50.060001373291016,0.0176865779807045,0,999.0699996948242,0.0,999.0699996948242
2023-02-15,49.90999984741211,-0.002996434713622209,0,999.0699996948242,0.0,999.0699996948242
2023-02-16,48.9900016784668,-0.0184331430927267,0,999.0699996948242,0.0,999.0699996948242
2023-02-17,49.630001068115234,0.013063877683632485,0,999.0699996948242,0.0,999.0699996948242
2023-02-21,48.20000076293945,-0.028813223340720118,0,999.0699996948242,0.0,999.0699996948242
2023-02-22,48.779998779296875,0.012033153675868435,1,950.2900009155273,48.779998779296875,999.0699996948242
2023-02-23,50.58000183105469,0.03690043248877184,0,950.2900009155273,50.58000183105469,1000.870002746582
2023-02-24,50.209999084472656,-0.007315198362742303,0,950.2900009155273,50.209999084472656,1000.5
2023-02-27,50.70000076293945,0.009759045755854734,0,950.2900009155273,50.70000076293945,1000.9900016784668
2023-02-28,51.959999084472656,0.02485203752608678,0,950.2900009155273,51.959999084472656,1002.25
2023-03-01,52.38999938964844,0.008275602631876877,0,950.2900009155273,52.38999938964844,1002.6800003051758
2023-03-02,52.560001373291016,0.0032449319645566632,-1,1002.8500022888184,0.0,1002.8500022888184
2023-03-03,53.060001373291016,0.009512937346574768,0,1002.8500022888184,0.0,1002.8500022888184
2023-03-06,52.439998626708984,-0.011684936497082798,0,1002.8500022888184,0.0,1002.8500022888184
2023-03-07,54.0099983215332,0.029938972843995826,0,1002.8500022888184,0.0,1002.8500022888184
2023-03-08,54.2599983215332,0.00462877259339467,0,1002.8500022888184,0.0,1002.8500022888184
2023-03-09,52.119998931884766,-0.039439724582504665,0,1002.8500022888184,0.0,1002.8500022888184
2023-03-10,50.970001220703125,-0.02206442315328061,1,951.8800010681152,50.970001220703125,1002.8500022888184
2023-03-13,48.83000183105469,-0.0419854686756258,1,903.0499992370605,97.66000366210938,1000.7100028991699
2023-03-14,46.209999084472656,-0.05365559386311092,1,856.8400001525879,138.62999725341797,995.4699974060059
2023-03-15,43.13999938964844,-0.06643583111118889,1,813.7000007629395,172.55999755859375,986.2599983215332
2023-03-16,43.59000015258789,0.010431172213865025,1,770.1100006103516,217.95000076293945,988.060001373291
2023-03-17,43.040000915527344,-0.01261755529101305,0,770.1100006103516,215.20000457763672,985.3100051879883
2023-03-20,43.09000015258789,0.0011616922861752421,1,727.0200004577637,258.54000091552734,985.560001373291
2023-03-21,44.2599983215332,0.027152428981252807,1,682.7600021362305,309.8199882507324,992.5799903869629
2023-03-22,42.81999969482422,-0.0325349905403951,1,639.9400024414062,342.55999755859375,982.5
2023-03-23,41.65999984741211,-0.027090141421750702,1,598.2800025939941,374.939998626709,973.2200012207031
2023-03-24,41.36000061035156,-0.00720113389724808,0,598.2800025939941,372.24000549316406,970.5200080871582
2023-03-27,41.939998626708984,0.014023162664370536,0,598.2800025939941,377.45998764038086,975.739990234375
2023-03-28,42.40999984741211,0.011206514928300715,0,598.2800025939941,381.689998626709,979.9700012207031
2023-03-29,43.470001220703125,0.024994137635105274,0,598.2800025939941,391.2300109863281,989.5100135803223
2023-03-30,43.709999084472656,0.0055209997016338885,0,598.2800025939941,393.3899917602539,991.669994354248
2023-03-31,44.25,0.012354173572132865,0,598.2800025939941,398.25,996.5300025939941
2023-04-03,43.349998474121094,-0.020339017533986592,0,598.2800025939941,390.14998626708984,988.429988861084
2023-04-04,42.540000915527344,-0.018685065446479743,1,555.7400016784668,425.40000915527344,981.1400108337402
2023-04-05,42.029998779296875,-0.011988766461081934,1,513.7100028991699,462.3299865722656,976.0399894714355
2023-04-06,42.65999984741211,0.01498931921039115,1,471.0500030517578,511.9199981689453,982.9700012207031
2023-04-10,43.130001068115234,0.011017375114492411,0,471.0500030517578,517.5600128173828,988.6100158691406
2023-04-11,44.31999969482422,0.02759097141754352,1,426.7300033569336,576.1599960327148,1002.8899993896484
2023-04-12,41.439998626708984,-0.06498197400600536,0,426.7300033569336,538.7199821472168,965.4499855041504
2023-04-13,41.970001220703125,0.012789638309798068,0,426.7300033569336,545.6100158691406,972.3400192260742
