Date,price,daily_return,signals,cash,positions,wealth
2023-01-03,32.2453498840332,1.0,0,1000.0,0.0,1000.0
2023-01-04,33.11375045776367,0.02693103274901887,0,1000.0,0.0,1000.0
2023-01-05,33.61952209472656,0.015273764824917713,0,1000.0,0.0,1000.0
2023-01-06,34.06803512573242,0.013340850882476163,0,1000.0,0.0,1000.0
2023-01-09,33.92489242553711,-0.004201671733254586,0,1000.0,0.0,1000.0
2023-01-10,34.058494567871094,0.00393817438411137,0,1000.0,0.0,1000.0
2023-01-11,34.33523941040039,0.00812557472197728,0,1000.0,0.0,1000.0
2023-01-12,34.28752517700195,-0.0013896578039873653,0,1000.0,0.0,1000.0
2023-01-13,34.3161506652832,0.0008348659792001278,0,1000.0,0.0,1000.0
2023-01-17,33.953521728515625,-0.010567296440228136,0,1000.0,0.0,1000.0
2023-01-18,33.982154846191406,0.0008433033222510211,0,1000.0,0.0,1000.0
2023-01-19,33.686317443847656,-0.00870566930445571,0,1000.0,0.0,1000.0
2023-01-20,34.5928955078125,0.026912352930118733,0,1000.0,0.0,1000.0
2023-01-23,34.84101104736328,0.0071724420840906244,1,965.1589889526367,34.84101104736328,1000.0
2023-01-24,34.812381744384766,-0.0008217127493687082,1,930.346607208252,69.62476348876953,999.9713706970215
2023-01-25,34.650150299072266,-0.004660165067236988,1,895.6964569091797,103.9504508972168,999.6469078063965
2023-01-26,34.33523941040039,-0.009088297913683374,-1,930.0316963195801,68.67047882080078,998.7021751403809
2023-01-27,34.153926849365234,-0.005280655214544239,-1,964.1856231689453,34.153926849365234,998.3395500183105
2023-01-30,34.306610107421875,0.004470445191560035,0,964.1856231689453,34.306610107421875,998.4922332763672
2023-01-31,34.79330062866211,0.014186494081353196,0,964.1856231689453,34.79330062866211,998.9789237976074
2023-02-01,35.37541198730469,0.016730558703104137,-1,999.56103515625,0.0,999.56103515625
2023-02-02,36.99769973754883,0.04585919029936214,0,999.56103515625,0.0,999.56103515625
2023-02-03,37.32215881347656,0.008769709420568095,0,999.56103515625,0.0,999.56103515625
2023-02-06,37.5321044921875,0.005625228694839723,0,999.56103515625,0.0,999.56103515625
2023-02-07,37.179012298583984,-0.009407737679005268,0,999.56103515625,0.0,999.56103515625
2023-02-08,36.42512130737305,-0.020277327034845638,0,999.56103515625,0.0,999.56103515625
2023-02-09,35.423126220703125,-0.0275083527715555,0,999.56103515625,0.0,999.56103515625
2023-02-10,35.43267059326172,0.0002694390240749467,0,999.56103515625,0.0,999.56103515625
2023-02-13,35.82392501831055,0.011042194068296762,0,999.56103515625,0.0,999.56103515625
2023-02-14,35.86209487915039,0.001065485170045788,0,999.56103515625,0.0,999.56103515625
2023-02-15,35.76667022705078,-0.002660877799280148,0,999.56103515625,0.0,999.56103515625
2023-02-16,35.49946975708008,-0.007470655453093222,0,999.56103515625,0.0,999.56103515625
2023-02-17,35.652156829833984,0.004301108546091781,0,999.56103515625,0.0,999.56103515625
2023-02-21,34.90781021118164,-0.02087802491740043,0,999.56103515625,0.0,999.56103515625
2023-02-22,34.85055160522461,-0.001640280659561122,0,999.56103515625,0.0,999.56103515625
2023-02-23,34.974609375,0.0035597074956137398,0,999.56103515625,0.0,999.56103515625
2023-02-24,34.554725646972656,-0.012005387208912754,0,999.56103515625,0.0,999.56103515625
2023-02-27,34.306610107421875,-0.007180364911174464,0,999.56103515625,0.0,999.56103515625
2023-02-28,34.21035385131836,-0.0028057641312305703,0,999.56103515625,0.0,999.56103515625
2023-03-01,34.239227294921875,0.0008439972216891523,0,999.56103515625,0.0,999.56103515625
2023-03-02,34.31623458862305,0.00224909554873598,0,999.56103515625,0.0,999.56103515625
2023-03-03,34.36436462402344,0.00140254418870156,0,999.56103515625,0.0,999.56103515625
2023-03-06,34.30660629272461,-0.0016807623807614247,0,999.56103515625,0.0,999.56103515625
2023-03-07,33.65205001831055,-0.019079598513154994,0,999.56103515625,0.0,999.56103515625
2023-03-08,33.64242172241211,-0.0002861132053827431,0,999.56103515625,0.0,999.56103515625
2023-03-09,32.96861267089844,-0.020028553743049682,1,966.5924224853516,32.96861267089844,999.56103515625
2023-03-10,32.50657272338867,-0.014014540196822134,1,934.0858497619629,65.01314544677734,999.0989952087402
2023-03-13,31.96752166748047,-0.016582832662649594,-1,966.0533714294434,31.96752166748047,998.0208930969238
2023-03-14,32.74721908569336,0.024390299201894283,1,933.30615234375,65.49443817138672,998.8005905151367
2023-03-15,31.977148056030273,-0.02351561601759078,0,933.30615234375,63.95429611206055,997.2604484558105
2023-03-16,32.77608871459961,0.02498473776239929,1,900.5300636291504,98.32826614379883,998.8583297729492
2023-03-17,32.46806716918945,-0.009397751760201745,1,868.0619964599609,129.8722686767578,997.9342651367188
2023-03-20,33.41140365600586,0.0290542853044109,1,834.6505928039551,167.0570182800293,1001.7076110839844
2023-03-21,34.06595993041992,0.01959080441974792,1,800.5846328735352,204.39575958251953,1004.9803924560547
2023-03-22,33.190006256103516,-0.02571345930381974,1,767.3946266174316,232.3300437927246,999.7246704101562
2023-03-23,33.71942901611328,0.015951270268664386,1,733.6751976013184,269.75543212890625,1003.4306297302246
