Date,price,daily_return,signals,cash,positions,wealth
2023-01-03,20.19894790649414,1.0,0,1000.0,0.0,1000.0
2023-01-04,20.612897872924805,0.02049363998298026,0,1000.0,0.0,1000.0
2023-01-05,20.38710594177246,-0.01095391499750853,0,1000.0,0.0,1000.0
2023-01-06,21.064481735229492,0.033225696447140685,0,1000.0,0.0,1000.0
2023-01-09,20.782243728637695,-0.013398763384705803,0,1000.0,0.0,1000.0
2023-01-10,20.725797653198242,-0.002716072247852197,0,1000.0,0.0,1000.0
2023-01-11,20.819875717163086,0.004539176997625738,0,1000.0,0.0,1000.0
2023-01-12,21.0362606048584,0.010393188251212049,0,1000.0,0.0,1000.0
2023-01-13,21.102115631103516,0.0031305481274512825,0,1000.0,0.0,1000.0
2023-01-17,21.102115631103516,0.0,0,1000.0,0.0,1000.0
2023-01-18,20.528226852416992,-0.027195793479618646,0,1000.0,0.0,1000.0
2023-01-19,20.405925750732422,-0.005957704119494922,0,1000.0,0.0,1000.0
2023-01-20,21.346723556518555,0.046104147259889317,0,1000.0,0.0,1000.0
2023-01-23,21.600736618041992,0.011899393405779612,0,1000.0,0.0,1000.0
2023-01-24,21.478431701660156,-0.005662071555452508,0,1000.0,0.0,1000.0
2023-01-25,21.544288635253906,0.0030661891197885094,0,1000.0,0.0,1000.0
2023-01-26,21.82653045654297,0.013100540290163831,0,1000.0,0.0,1000.0
2023-01-27,22.01468849182129,0.008620611308469028,0,1000.0,0.0,1000.0
2023-01-30,21.82653045654297,-0.008546931533835789,0,1000.0,0.0,1000.0
2023-01-31,22.14640235900879,0.014655187781800194,0,1000.0,0.0,1000.0
2023-02-01,22.372194290161133,0.010195422601472659,0,1000.0,0.0,1000.0
2023-02-02,22.532129287719727,0.007148829278178059,0,1000.0,0.0,1000.0
2023-02-03,22.57917022705078,0.002087727206353751,0,1000.0,0.0,1000.0
2023-02-06,22.287519454956055,-0.012916806470829378,0,1000.0,0.0,1000.0
2023-02-07,22.456865310668945,0.007598237033741961,0,1000.0,0.0,1000.0
2023-02-08,22.438051223754883,-0.0008377877612831819,0,1000.0,0.0,1000.0
2023-02-09,22.136993408203125,-0.013417288896864221,0,1000.0,0.0,1000.0
2023-02-10,22.268707275390625,0.005949943822935344,0,1000.0,0.0,1000.0
2023-02-13,22.485088348388672,0.009716822369710387,0,1000.0,0.0,1000.0
2023-02-14,22.438051223754883,-0.0020919252753196504,0,1000.0,0.0,1000.0
2023-02-15,22.485088348388672,0.00209631060044968,0,1000.0,0.0,1000.0
2023-02-16,22.259296417236328,-0.010041852077869451,0,1000.0,0.0,1000.0
2023-02-17,22.44745635986328,0.008453094792396643,0,1000.0,0.0,1000.0
2023-02-21,21.817123413085938,-0.02808037296842225,0,1000.0,0.0,1000.0
2023-02-22,21.676000595092773,-0.006468442943697972,0,1000.0,0.0,1000.0
2023-02-23,21.647777557373047,-0.0013020408260238092,0,1000.0,0.0,1000.0
2023-02-24,21.79830551147461,0.006953506137182819,0,1000.0,0.0,1000.0
2023-02-27,21.89238739013672,0.004316017986470744,0,1000.0,0.0,1000.0
2023-02-28,21.939424514770508,0.002148560766606078,1,978.0605754852295,21.939424514770508,1000.0
2023-03-01,21.9770565032959,0.001715267804771159,0,978.0605754852295,21.9770565032959,1000.0376319885254
2023-03-02,21.534883499145508,-0.020119755531596284,1,956.525691986084,43.069766998291016,999.595458984375
2023-03-03,21.967649459838867,0.02009604373808349,1,934.5580425262451,65.9029483795166,1000.4609909057617
2023-03-06,21.930015563964844,-0.0017131507830560055,1,912.6280269622803,87.72006225585938,1000.3480892181396
2023-03-07,21.073888778686523,-0.03903904138969683,1,891.5541381835938,105.36944389343262,996.9235820770264
2023-03-08,20.47178077697754,-0.028571281173218388,1,871.0823574066162,122.83068466186523,993.9130420684814
2023-03-09,19.617206573486328,-0.0417440091216813,1,851.4651508331299,137.3204460144043,988.7855968475342
2023-03-10,19.256385803222656,-0.01839307594136974,1,832.2087650299072,154.05108642578125,986.2598514556885
2023-03-13,17.8985652923584,-0.07051273924087142,0,832.2087650299072,143.1885223388672,975.3972873687744
