Date,price,daily_return,signals,cash,positions,wealth
2023-01-03,158.66653442382812,1.0,0,1000.0,0.0,1000.0
2023-01-04,162.0459747314453,0.021299011287345904,0,1000.0,0.0,1000.0
2023-01-05,155.9708251953125,-0.03749028352108719,0,1000.0,0.0,1000.0
2023-01-06,161.66505432128906,0.03650829646407283,0,1000.0,0.0,1000.0
2023-01-09,163.208251953125,0.00954564756319587,0,1000.0,0.0,1000.0
2023-01-10,165.27886962890625,0.012686966810820044,0,1000.0,0.0,1000.0
2023-01-11,165.83558654785156,0.003368349022444761,0,1000.0,0.0,1000.0
2023-01-12,164.74166870117188,-0.006596399900958727,0,1000.0,0.0,1000.0
2023-01-13,165.04444885253906,0.001837908731617821,0,1000.0,0.0,1000.0
2023-01-17,163.0226593017578,-0.01224997002224315,0,1000.0,0.0,1000.0
2023-01-18,162.1338653564453,-0.00545196569065487,0,1000.0,0.0,1000.0
2023-01-19,159.33070373535156,-0.01728918023961934,0,1000.0,0.0,1000.0
2023-01-20,161.3231964111328,0.012505390543499972,0,1000.0,0.0,1000.0
2023-01-23,165.70863342285156,0.02718416885655084,0,1000.0,0.0,1000.0
2023-01-24,164.92724609375,-0.004715429202216903,0,1000.0,0.0,1000.0
2023-01-25,164.52679443359375,-0.0024280503654843244,0,1000.0,0.0,1000.0
2023-01-26,166.7634735107422,0.013594618948533643,0,1000.0,0.0,1000.0
2023-01-27,166.8513946533203,0.0005272206240802824,0,1000.0,0.0,1000.0
2023-01-30,164.99560546875,-0.01112240738788084,0,1000.0,0.0,1000.0
2023-01-31,167.47647094726562,0.015035948814924538,0,1000.0,0.0,1000.0
2023-02-01,172.47720336914062,0.029859313332734505,0,1000.0,0.0,1000.0
2023-02-02,175.12411499023438,0.015346443294472767,1,824.8758850097656,175.12411499023438,1000.0
2023-02-03,174.65528869628906,-0.0026771087121351123,1,650.2205963134766,349.3105773925781,999.5311737060547
2023-02-06,173.41485595703125,-0.00710217679932279,0,650.2205963134766,346.8297119140625,997.0503082275391
2023-02-07,176.80404663085938,0.019543831208255202,0,650.2205963134766,353.60809326171875,1003.8286895751953
2023-02-08,173.61997985839844,-0.01800901525239862,0,650.2205963134766,347.2399597167969,997.4605560302734
2023-02-09,174.36227416992188,0.004275396830070166,0,650.2205963134766,348.72454833984375,998.9451446533203
2023-02-10,174.3036651611328,-0.00033613354189188094,0,650.2205963134766,348.6073303222656,998.8279266357422
2023-02-13,176.24729919433594,0.011150850049001404,0,650.2205963134766,352.4945983886719,1002.7151947021484
2023-02-14,178.28863525390625,0.01158222604772785,-1,828.5092315673828,178.28863525390625,1006.7978668212891
2023-02-15,191.6109619140625,0.07472336439831695,0,828.5092315673828,191.6109619140625,1020.1201934814453
2023-02-16,189.31570434570312,-0.011978738300937097,1,639.1935272216797,378.63140869140625,1017.8249359130859
2023-02-17,188.2218017578125,-0.005778192525925263,0,639.1935272216797,376.443603515625,1015.6371307373047
2023-02-21,181.63876342773438,-0.034974898064936255,0,639.1935272216797,363.27752685546875,1002.4710540771484
2023-02-22,179.480224609375,-0.011883690340240394,0,639.1935272216797,358.96044921875,998.1539764404297
2023-02-23,181.32620239257812,0.010285131898072564,0,639.1935272216797,362.65240478515625,1001.8459320068359
2023-02-24,179.51087951660156,-0.010011365439873465,-1,818.7044067382812,179.51087951660156,998.2152862548828
2023-02-27,179.73658752441406,0.0012573500192316622,1,638.9678192138672,359.4731750488281,998.4409942626953
2023-02-28,180.0309600830078,0.0016377998639467428,1,458.9368591308594,540.0928802490234,999.0297393798828
2023-03-01,179.6776885986328,-0.0019622818442567302,1,279.25917053222656,718.7107543945312,997.9699249267578
2023-03-02,181.12997436523438,0.008082727343213358,-1,460.38914489746094,543.3899230957031,1003.7790679931641
2023-03-03,182.7588348388672,0.008992771513059106,0,460.38914489746094,548.2765045166016,1008.6656494140625
2023-03-06,182.04254150390625,-0.00391933629688801,0,460.38914489746094,546.1276245117188,1006.5167694091797
2023-03-07,181.47340393066406,-0.003126398744713099,0,460.38914489746094,544.4202117919922,1004.8093566894531
2023-03-08,183.07286071777344,0.008813725606428235,0,460.38914489746094,549.2185821533203,1009.6077270507812
2023-03-09,180.1192626953125,-0.0161334564330331,-1,640.5084075927734,360.238525390625,1000.7469329833984
2023-03-10,178.35299682617188,-0.009806090935029044,0,640.5084075927734,356.70599365234375,997.2144012451172
2023-03-13,179.12820434570312,0.004346478799494458,-1,819.6366119384766,179.12820434570312,998.7648162841797
2023-03-14,183.08265686035156,0.02207610202476351,-1,1002.7192687988281,0.0,1002.7192687988281
2023-03-15,179.50108337402344,-0.0195626038410619,0,1002.7192687988281,0.0,1002.7192687988281
2023-03-16,183.13172912597656,0.020226316653409793,1,819.5875396728516,183.13172912597656,1002.7192687988281
2023-03-17,182.36634826660156,-0.004179400604296668,-1,1001.9538879394531,0.0,1001.9538879394531
2023-03-20,183.55364990234375,0.006510530298092343,0,1001.9538879394531,0.0,1001.9538879394531
2023-03-21,184.86854553222656,0.0071635493523685145,0,1001.9538879394531,0.0,1001.9538879394531
2023-03-22,183.11209106445312,-0.009501099620363718,0,1001.9538879394531,0.0,1001.9538879394531
2023-03-23,185.89886474609375,0.015218949581323526,0,1001.9538879394531,0.0,1001.9538879394531
2023-03-24,184.17184448242188,-0.009290106564290745,0,1001.9538879394531,0.0,1001.9538879394531
2023-03-27,181.3065948486328,-0.01555747916757455,0,1001.9538879394531,0.0,1001.9538879394531
2023-03-28,180.1585235595703,-0.006332209206294959,0,1001.9538879394531,0.0,1001.9538879394531
2023-03-29,185.6240997314453,0.030337594158112546,0,1001.9538879394531,0.0,1001.9538879394531
2023-03-30,190.5696563720703,0.026642858593146412,0,1001.9538879394531,0.0,1001.9538879394531
2023-03-31,193.52320861816406,0.015498544219060717,0,1001.9538879394531,0.0,1001.9538879394531
2023-04-03,192.600830078125,-0.004766242491664019,0,1001.9538879394531,0.0,1001.9538879394531
